emotion,gender,block,picture,duration,mask
neutral,F,3,12F_NE_C.png,0.017,mask_28M_DI_O.png
neutral,F,3,14F_NE_C.png,0.017,mask_23M_FE_C.png
neutral,F,3,13F_NE_C.png,0.017,mask_34M_DI_C.png
neutral,F,3,07F_NE_C.png,0.017,mask_13F_HA_X.png
neutral,F,3,01F_NE_C.png,0.017,mask_13F_HA_O.png
neutral,F,3,09F_NE_C.png,0.034,mask_20M_CA_C.png
neutral,F,3,10F_NE_C.png,0.034,mask_27M_AN_O.png
neutral,F,3,08F_NE_C.png,0.034,mask_22M_SA_O.png
neutral,F,3,11F_NE_C.png,0.034,mask_40M_HA_C.png
neutral,F,3,05F_NE_C.png,0.034,mask_05F_NE_C.png
neutral,F,3,03F_NE_C.png,0.034,mask_09F_CA_O.png
neutral,F,3,06F_NE_C.png,0.034,mask_38M_SP_O.png
neutral,F,3,12F_NE_C.png,0.034,mask_08F_NE_C.png
neutral,F,3,14F_NE_C.png,0.034,mask_33M_SA_C.png
neutral,F,3,13F_NE_C.png,0.034,mask_36M_AN_C.png
neutral,F,3,07F_NE_C.png,0.034,mask_14F_NE_O.png
neutral,F,3,01F_NE_C.png,0.034,mask_35M_SP_O.png
neutral,F,3,09F_NE_C.png,0.050,mask_10F_DI_O.png
neutral,F,3,10F_NE_C.png,0.050,mask_07F_FE_O.png
neutral,F,3,08F_NE_C.png,0.050,mask_41M_SA_O.png
neutral,F,3,11F_NE_C.png,0.050,mask_23M_HA_C.png
neutral,F,3,05F_NE_C.png,0.050,mask_10F_CA_O.png
neutral,F,3,03F_NE_C.png,0.050,mask_13F_FE_O.png
neutral,F,3,06F_NE_C.png,0.050,mask_21M_SP_O.png
neutral,F,3,12F_NE_C.png,0.050,mask_22M_AN_C.png
neutral,F,3,14F_NE_C.png,0.050,mask_27M_SA_C.png
neutral,F,3,13F_NE_C.png,0.050,mask_34M_CA_C.png
neutral,F,3,07F_NE_C.png,0.050,mask_07F_HA_O.png
neutral,F,3,01F_NE_C.png,0.050,mask_07F_HA_X.png
happy,M,4,24M_HA_C.png,0.017,mask_35M_SP_O.png
happy,M,4,22M_HA_C.png,0.017,mask_10F_DI_O.png
happy,M,4,25M_HA_C.png,0.017,mask_37M_HA_C.png
happy,M,4,31M_HA_C.png,0.017,mask_41M_SA_O.png
happy,M,4,28M_HA_C.png,0.017,mask_23M_HA_C.png
happy,M,4,34M_HA_C.png,0.017,mask_10F_CA_O.png
happy,M,4,20M_HA_C.png,0.017,mask_13F_FE_O.png
happy,M,4,33M_HA_C.png,0.017,mask_21M_SP_O.png
happy,M,4,32M_HA_C.png,0.017,mask_07F_FE_O.png
happy,M,4,26M_HA_C.png,0.017,mask_37M_HA_C.png
happy,M,4,21M_HA_C.png,0.017,mask_41M_SA_O.png
happy,M,4,35M_HA_C.png,0.017,mask_23M_HA_C.png
happy,M,4,24M_HA_C.png,0.034,mask_10F_CA_O.png
happy,M,4,22M_HA_C.png,0.034,mask_13F_FE_O.png
happy,M,4,25M_HA_C.png,0.034,mask_21M_SP_O.png
happy,M,4,31M_HA_C.png,0.034,mask_27M_SA_C.png
